Company,Ticker,Exchange,Yahoo,Closing Price
Aeroflex Inc.,ARXX,NASDAQ,False,
Aerohive Networks Inc,HIVE,NYSE,True,3.06
Aerojet Rocketdyne Holdings Inc,AJRD,NYSE,True,54.53
Aerovate Therapeutics Inc,AVTE,NASDAQ,True,16.65
AeroVironment Inc,AVAV,NASDAQ,True,97.69
Aerpio Pharmaceuticals Inc,ARPO,NASDAQ,False,
AerSale Corporation,ASLE,NASDAQ,True,15.05
AES Corp,AES,NYSE,True,20.41
AES Corporation The,AESC,NYSE,True,80.0082
Aesther Healthcare Acquisition Corporation,AEHA,NASDAQ,False,
Aeterna Zentaris Inc,AEZS,NASDAQ,True,2.92
Aether,AETH,NASDAQ,False,
Aetherium Acquisition Corporation,GMFIU,NASDAQ,True,10.49
Aethlon Medical Inc,AEMD,NASDAQ,True,0.3563
Aeva Technologies Inc,AEVA,NYSE,True,1.39
Aevi Genomic Medicine Inc,GNMX,NASDAQ,False,
AEye Inc,LIDR,NASDAQ,True,0.1847
AF Acquisition Corporation,AFAQ,NASDAQ,False,
AFC Gamma Inc,AFCG,NASDAQ,True,12.32
Affiliated Managers Group Inc,MGRB,NYSE,True,18.13
Affiliated Managers Group Inc,MGR,NYSE,True,23.67
Affiliated Managers Group Inc,AMG,NYSE,True,148.23
Affimed NV,AFMD,NASDAQ,True,0.6956
Affinity Bancshares Inc,AFBI,NASDAQ,True,12.3
Affirm Holdings Inc,AFRM,NASDAQ,True,18.85
Affymetrix,AFFX,NASDAQ,False,
AFLAC Inc,AFL,NYSE,True,68.21
African Gold Acquisition Corp,AGACU,NYSE,False,
African Gold Acquisition Corporation,AGAC,NYSE,True,10.48
AfterNext HealthTech Acquisition Corp,AFTR,NYSE,True,10.355
Afya Ltd,AFYA,NASDAQ,True,12.84
AG Mortgage Investment Trust Inc,MITT,NYSE,True,6.0
Aga Medical Holdings Com,AGAM,NASDAQ,False,
AGBA Acquisition Ltd,AGBA,NASDAQ,True,1.65
AGCO Corp,AGCO,NYSE,True,122.77
AgEagle Aerial Systems Inc,UAVS,AMEX,True,0.3
Agenus Inc,AGEN,NASDAQ,True,2.04
Agenus Inc.,AGEND,NASDAQ,False,
AgeX Therapeutics Inc,AGE,AMEX,True,0.6339
Agile Growth Corporation,AGGR,NASDAQ,False,
Agile Therapeutics Inc,AGRX,NASDAQ,True,3.56
Agilent Technologies,A,NYSE,True,114.69
AgileThought Inc,AGIL,NASDAQ,True,0.8
Agiliti Inc,AGTI,NYSE,True,17.47
Agilon Health inc,AGL,NYSE,True,20.99
Agilysys Inc,AGYS,NASDAQ,True,72.39
Agios Pharmaceuticals Inc,AGIO,NASDAQ,True,26.6
AGM Group Holdings Inc,AGMH,NASDAQ,True,1.78
AGNC Investment Corporation,AGNC,NASDAQ,True,9.73
Agnico Eagle Mines Ltd,AEM,NYSE,True,51.55
Agnico-Eagle Mines Ltd,AEMLW,NASDAQ,False,
Agree Realty Corporation,ADC,NYSE,True,65.67
Agria Corp. American Depositary Shares,GRO,NYSE,False,
Agrico Acquisition Corporation,RICO,NASDAQ,False,
AgriFORCE Growing Systems Ltd,AGRI,NASDAQ,True,0.2457
Agrify Corporation,AGFY,NASDAQ,True,0.1972
AgroFresh Solutions Inc,AGFS,NASDAQ,False,
Ahren Acquisition Corporation,AHRNU,NASDAQ,True,10.52
Aileron Therapeutics Inc,ALRN,NASDAQ,True,1.5704
AIM ImmunoTech Inc,AIM,AMEX,True,0.4543
Aimmune Therapeutics Inc,AIMT,NASDAQ,False,
Air Industries Group,AIRI,AMEX,True,3.65
Air Lease Corporation,AL,NYSE,True,41.7
Air Methods Corp.,AIRM,NASDAQ,False,
Air Products and Chemicals Inc,APD,NYSE,True,283.38
Air T Inc,AIRT,NASDAQ,True,26.3
Air T Inc,AIRTP,NASDAQ,True,21.9699
Air Transport Services Group Inc,ATSG,NASDAQ,True,18.74
Air Via,AIRV,NASDAQ,False,
Airbnb Inc,ABNB,NASDAQ,True,115.5
Aircastle Limited,AYR,NYSE,False,
Airgain Inc,AIRG,NASDAQ,True,6.13
Airgas,ARG,NYSE,False,
Airmedia Grp. ADS,AMCN,NASDAQ,False,
Airnet Communications,ANCC,NASDAQ,False,
AirSculpt Technologies Inc,AIRS,NASDAQ,True,7.97
Airspan Networks,AIRN,NASDAQ,False,
Airspan Networks Holdings Inc,MIMO,AMEX,True,0.231
Aixtron SE ADS,AIXG,NASDAQ,False,
AK Steel Holding Corp,AKS,NYSE,False,
Akamai Technologies Inc,AKAM,NASDAQ,True,92.62
Akazoo SA,SONG,NASDAQ,True,0.03
Akcea Therapeutics Inc,AKCA,NASDAQ,False,
Akebia Therapeutics Inc,AKBA,NASDAQ,True,1.25
Akeena Solar,AKNS,NASDAQ,False,
Akela Pharma Ord,AKLA,NASDAQ,False,
Akerna Corporation,KERN,NASDAQ,True,0.71
Akero Therapeutics Inc,AKRO,NASDAQ,True,51.66
Akers Biosciences Inc,AKER,NASDAQ,False,
Akorn Inc,AKRX,NASDAQ,False,
Akouos Inc,AKUS,NASDAQ,False,
Akoustis Technologies Inc,AKTS,NASDAQ,True,3.43
Akoya BioSciences Inc,AKYA,NASDAQ,True,5.28
Akumin Inc,AKU,NASDAQ,True,0.38
